gene_names,BRCA
POLDIP2,POLDIP2
AK2,AK2
SLC4A1,SLC4A10;SLC4A11;SLC4A1AP;SLC4A1
SLC25A5,SLC25A5
ACSM3,ACSM3
AP2B1,AP2B1
ELAC2,ELAC2
DNAJC11,DNAJC11
MGST1,MGST1
UQCRC1,UQCRC1
LYPLA2,LYPLA2P1;LYPLA2
ABHD5,ABHD5
SLC25A39,SLC25A39
SLC38A5,SLC38A5
PHLDB1,PHLDB1
VIM,VIM
ANK1,ANK1
SARS1,
RNF19A,
DSG2,DSG2
TPR,TPRA1;TPRG1L;TPRG1;TPRKB;TPRN;TPRX1
WWC3,WWC3
LETMD1,LETMD1
HERPUD1,HERPUD1
MSMO1,
ARID4B,ARID4B
EIF2AK2,EIF2AK2
KMT2C,
SLC2A3,SLC2A3
MPC1,
HDAC7,HDAC7
VMP1,
BTBD1,BTBD10;BTBD11;BTBD12;BTBD17;BTBD18;BTBD19
OAT,
KARS1,
ELAVL1,ELAVL1
CD84,CD84
ATP11A,ATP11A
GBA2,
CDC42,CDC42BPA;CDC42BPB;CDC42EP1;CDC42EP2;CDC42EP3;CDC42EP4;CDC42EP5;CDC42SE1;CDC42SE2;CDC42
WDR1,WDR11;WDR12;WDR13;WDR17;WDR18;WDR19;WDR1
ASIC4,
HSD17B10,HSD17B10
FCGR2B,FCGR2B
NFATC3,NFATC3
ACADVL,ACADVL
SDHA,SDHAF1;SDHAF2;SDHAP1;SDHAP2
ST6GAL1,ST6GAL1
ATP2A3,ATP2A3
ENO1,
ADD2,ADD2
SLC25A3,SLC25A30;SLC25A32;SLC25A33;SLC25A34;SLC25A35;SLC25A36;SLC25A37;SLC25A38;SLC25A39;SLC25A3
FRYL,FRYL
ACTB,ACTBL2;ACTB
MLH1,MLH1
TNS1,TNS1
FDFT1,FDFT1
MEF2C,MEF2C
OXCT1,OXCT1
RPS5,RPS5
GSTP1,GSTP1
EIF3I,EIF3I
PPP1R15A,PPP1R15A
ADD1,ADD1
GNAS,GNASAS;GNAS
TPX2,TPX2
COQ9,
FKBP1A,
RPL6,RPL6
LYZ,LYZL1;LYZL2;LYZ
AARS1,
PHGDH,PHGDH
CDC45,CDC45
PTGS1,
SRPK1,SRPK1
HSP90AB1,HSP90AB1
SCD,SCD5;SCD
MAGEB2,
CRKL,
BCL2L13,BCL2L13
GCAT,GCAT
SNU13,
XBP1,XBP1
MIEF1,
ST13,ST13
ACO2,
BRD1,BRD1
SRSF5,
ARHGAP5,ARHGAP5
PROCR,PROCR
PABPC1L,PABPC1L2A;PABPC1L2B;PABPC1L
CTSZ,CTSZ
TUBB1,TUBB1
TRIB3,TRIB3
IDH3B,
MYL12A,
