File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF273RUL	fastq	reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF360LCP		1782132136	Brenton Graveley, UConn	c49b785891cc8f4facf82f0ce3c35815	SRA:SRR4422495	https://www.encodeproject.org/files/ENCFF273RUL/@@download/ENCFF273RUL.fastq.gz			Illumina HiSeq 2000	/files/ENCFF162LWE/, /files/ENCFF981SWJ/	released	s3://encode-public/2015/08/14/dd66490d-fbc8-4b03-bd43-8abef7c64eaa/ENCFF273RUL.fastq.gz				
ENCFF463IGP	fastq	reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF007AYD		1627357688	Brenton Graveley, UConn	34cd3c23fa4c76cd1363909dfab3105e	SRA:SRR4422496	https://www.encodeproject.org/files/ENCFF463IGP/@@download/ENCFF463IGP.fastq.gz			Illumina HiSeq 2000	/files/ENCFF162LWE/, /files/ENCFF981SWJ/	released	s3://encode-public/2015/08/14/ac94b787-dc9f-4476-afe4-cd8d0adcd535/ENCFF463IGP.fastq.gz				
ENCFF360LCP	fastq	reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	2	ENCFF273RUL		1626288925	Brenton Graveley, UConn	6376e3d877ed4e39b69d1b04e65dc39c	SRA:SRR4422495	https://www.encodeproject.org/files/ENCFF360LCP/@@download/ENCFF360LCP.fastq.gz			Illumina HiSeq 2000	/files/ENCFF087MDC/, /files/ENCFF122FYQ/	released	s3://encode-public/2015/08/14/e409d6b1-1fdd-40a3-be6a-2784b598d995/ENCFF360LCP.fastq.gz				
ENCFF007AYD	fastq	reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	2	ENCFF463IGP		1481493559	Brenton Graveley, UConn	c59b40a5a136f1fb94fcd02c05a65125	SRA:SRR4422496	https://www.encodeproject.org/files/ENCFF007AYD/@@download/ENCFF007AYD.fastq.gz			Illumina HiSeq 2000	/files/ENCFF087MDC/, /files/ENCFF122FYQ/	released	s3://encode-public/2015/08/14/b652eb32-c8bf-4033-8c1c-d26844fcc518/ENCFF007AYD.fastq.gz				
ENCFF656QEN	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP	2677620710	Brenton Graveley, UConn	f409a646dd82e6b47c88869cd1921a55		https://www.encodeproject.org/files/ENCFF656QEN/@@download/ENCFF656QEN.bam	hg19				released	s3://encode-public/2015/08/14/90fb47a5-bb88-4835-be75-7850b0ae86b9/ENCFF656QEN.bam				
ENCFF738SSD	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP	2418560568	Brenton Graveley, UConn	83fe79368dde05a9405107b333b0eca3		https://www.encodeproject.org/files/ENCFF738SSD/@@download/ENCFF738SSD.bam	hg19				released	s3://encode-public/2015/08/14/bdf2e810-1d9a-4419-a486-1694ac7eb0ab/ENCFF738SSD.bam				
ENCFF907NFY	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1						ENCFF656QEN	59367468	Brenton Graveley, UConn	f64f0a6592e2e7da68731d566a160046		https://www.encodeproject.org/files/ENCFF907NFY/@@download/ENCFF907NFY.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/b6ad9d25-5fe4-4909-83e1-3ecc29445163/ENCFF907NFY.bigWig				
ENCFF345BTY	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1						ENCFF656QEN	65838357	Brenton Graveley, UConn	4f4291ddd51d397f6730acc4fa3e58cd		https://www.encodeproject.org/files/ENCFF345BTY/@@download/ENCFF345BTY.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/a5eb1418-6917-4533-81b0-b5d4f0fb9314/ENCFF345BTY.bigWig				
ENCFF469REN	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1						ENCFF738SSD	53596926	Brenton Graveley, UConn	5e80f7e0a919bfb27ffbda5d691fe41e		https://www.encodeproject.org/files/ENCFF469REN/@@download/ENCFF469REN.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/4003a30b-9f48-410e-8bf3-b04d7618175e/ENCFF469REN.bigWig				
ENCFF337QRX	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1						ENCFF738SSD	57716578	Brenton Graveley, UConn	b7ec26a15064cf1f0cefc87e905e53db		https://www.encodeproject.org/files/ENCFF337QRX/@@download/ENCFF337QRX.bigWig	hg19	V19			released	s3://encode-public/2015/08/14/e92b32f8-9778-4075-b95a-3e7504758377/ENCFF337QRX.bigWig				
